item_id,item_label,reason,parent_item_id,exclude_other_parents
Q2104307,popular classical,root item with no P279/P361 parent; a classical/popular crossover genre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q56342556,
Q18207423,rhythm & praise music,root item with no P279/P361 parent; a Christian R&B/gospel subgenre (from a term coined by gospel duo Dawkins and Dawkins) with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q180268,
Q136908397,post-noise,root item with no P279/P361 parent; a noise music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q726239,
Q3624086,acousmatic art,root item with no P279/P361 parent; an electroacoustic/musique concrète-derived art form with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q1640319,
Q2621235,spatial music,"root item with no P279/P361 parent; composed music that intentionally exploits sound localization, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q1640319,
Q4448560,surrealist music,root item with no P279/P361 parent; an early-20th-century avant-garde compositional movement with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q2332751,
Q16591771,primitivism,root item with no P279/P361 parent; an early-20th-century avant-garde compositional movement (e.g. Stravinsky) with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q2332751,
Q125620975,period composition,"root item with no P279/P361 parent; composition deliberately built on past musical aesthetics/techniques/genres, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q1583807,
Q2534081,pre-classical music,"root item with no P279/P361 parent; the transitional period between Baroque and Classical-era music, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q1583807,
Q96394452,music theatre,"root item with no P279/P361 parent; an experimental performance genre distinct from mainstream musical theater, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q2332751,
Q3328779,urban classical music,root item with no P279/P361 parent; a classical/urban crossover genre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q56342556,
Q7663873,Systems music,"root item with no P279/P361 parent; a minimalist-adjacent British compositional movement (e.g. Gavin Bryars, Michael Nyman) with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q12183214,
Q8195422,dance,"root item with no P279/P361 parent; described only as ""a piece of music with a dance rhythm"", effectively the same concept as the existing dance music item, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q316930,
Q133687529,toypop,"root item with two P279 parents (popular music, J-pop); the lowest-QID heuristic picks popular music but J-pop is the correct main parent for this Japanese children's music genre",Q131578,
Q1379958,contemporary Christian music,root item with no P279/P361 parent; a Christian music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q1339121,contemporary worship music,root item with no P279/P361 parent; a Christian music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q28502375,cumbión,root item with no P279/P361 parent; a cumbia-derivative genre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q97276030,
Q106922571,cybergoth music,root item with no P279/P361 parent; a gothic music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q13646229,
Q1166158,dark cabaret,root item with no P279/P361 parent; a cabaret music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q111535905,
Q65937876,glam music,root item with no P279/P361 parent; a rock music subgenre/movement with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11399,
Q783874,nasheed,root item with no P279/P361 parent; an Islamic music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q1482325,
Q3071,punk rock,root item with no P279/P361 parent; a rock music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11399,
Q123272631,rock poetry,root item with no P279/P361 parent; a rock music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11399,
Q3296134,wizard rock,root item with no P279/P361 parent; a rock music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11399,
Q2519962,youth crew,"newly orphaned root after hardcore (Q11974316) was excluded as an umbrella semantic-grouping (not a real genre, see manual_umbrella_canonical_genres.csv); youth crew is specifically a hardcore punk movement, so re-parented under hardcore punk (Q10922) rather than hardcore hip-hop/breakbeat hardcore",Q10922,
Q7361853,Roman Catholic Marian music,root item with no P279/P361 parent; a Christian music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q1684532,jazz guitar,root item with no P279/P361 parent; a jazz subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q65937893,
Q11964168,crabcore,root item with no P279/P361 parent; an electronicore subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q2084353,
Q11899500,underground metal,root item with no P279/P361 parent; a metal-music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q12326776,
Q7883674,underground dance music,root item with no P279/P361 parent; a club/dance-music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11787389,
Q19672555,nerd-folk,root item with no P279/P361 parent; a contemporary-folk subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q106298881,
Q1414130,filk,root item with no P279/P361 parent; a nerd-folk subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q19672555,
Q110592389,contemporary singer-songwriter music,root item with no P279/P361 parent; a singer-songwriter-music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q89363113,
Q16912992,stepenny,"root item with no P279/P361 parent; a Slavic Orthodox liturgical hymn genre spanning multiple Slavic nations so manual_regional_overrides.csv does not apply, but Slavic rite song already exists as its real parent genre",Q16682190,
Q108539884,stomp and flutter,root item with no P279/P361 parent; an indie-folk microgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q1317816,
Q55614428,indigenous metal music,root item with no P279/P361 parent; a heavy-metal subgenre defined by theme/performers rather than one nation so manual_regional_overrides.csv does not apply,Q38848,
Q130479301,Christian children's music,root item with no P279/P361 parent; a Christian-music subtype for a child audience with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q856713,Christian hymn,root item with no P279/P361 parent; a Christian hymn form with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q1293057,Protestant hymn,root item with no P279/P361 parent; a Christian hymn subtype with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q107029644,Hari Raya music,root item with no P279/P361 parent; music for the Islamic Eid/Hari Raya holiday with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q1482325,
Q4763552,Anglican church music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q22908051,Quaker music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q6912676,Mormon music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q107308143,Maronite music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q7663198,Syriac sacral music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q16610474,Contemporary Catholic liturgical music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q7987058,West gallery music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q28923934,Konkani liturgical music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q110592413,Christmas religious music,root item with no P279/P361 parent; a Christian denominational tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q2707688,plainsong,root item with no P279/P361 parent; Christian liturgical chant tradition with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q6452410,
Q115804629,sapphic pop,root item with no P279/P361 parent; a pop music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q37073,
Q127471482,contemporary instrumental music,"root item with no P279/P361 parent; per AllMusic descended from new age music's electronic wing; new age music was dropped as a theme genre, so re-parented under ambient music (its closest surviving electronic-music relative) instead",Q193207,
Q848399,easy listening,root item with no P279/P361 parent; a pop-adjacent mood-music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q37073,
Q12183214,minimal music,root item with no P279/P361 parent; a 20th-century art-music compositional movement with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q1583807,
Q7205507,plunderphonics,root item with no P279/P361 parent; a sampling-based experimental-music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q1640319,
Q13646229,gothic music,root item with no P279/P361 parent; a rock-music subgenre (gothic rock lineage) with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11399,
Q137442003,spamwave,root item with no P279/P361 parent; a vaporwave sample-collage microgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q15733887,
Q56342556,classical crossover,"root item with no P279/P361 parent; user routed as a pop-music subgenre, no single national/ethnic home so manual_regional_overrides.csv does not apply",Q37073,
Q1317816,indie folk,root item with no P279/P361 parent; a folk-music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q43343,
Q48971892,dungeon synth,root item with no P279/P361 parent; an ambient-music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q193207,
Q89363113,singer-songwriter music,"root item with no P279/P361 parent; user routed as a pop-music category, no single national/ethnic home so manual_regional_overrides.csv does not apply",Q37073,
Q9794,reggae,"user-requested regrouping under a synthetic canonical ""Reggae/Dub (grouping)"" node alongside dub music; reggae has a genuine P279 edge to ""music of Jamaica"" that would otherwise keep it is_regional via the cascade regardless of this override, so its other parent edges are excluded too",LOCAL:reggae-dub,true
Q212688,dub music,"user-requested regrouping under a synthetic canonical ""Reggae/Dub (grouping)"" node alongside reggae",LOCAL:reggae-dub,
LOCAL:pop-reggae,Pop reggae,user-requested new intermediate node under LOCAL:reggae-dub,LOCAL:reggae-dub,
Q7282874,ragga pop,"user-requested regrouping under new synthetic ""Pop reggae"" node (reggae subgenre with mainstream/pop crossover appeal), reparented off its previous direct parent reggae",LOCAL:pop-reggae,
Q1113204,dub poetry,"root item with no P279/P361 parent surviving to Silver; Wikidata itself lists roots reggae as an existing parent (spoken-word poetry performed over dub/reggae rhythms), so it belongs under its real genre parent rather than being treated as regional-only",Q1299260,
Q58339,disco,"user-requested regrouping under a synthetic canonical ""Disco/Funk (grouping)"" node alongside funk; disco has a genuine P361 edge to ""African-American music"" that would otherwise keep it is_regional via the cascade regardless of this override, so its other parent edges are excluded too",LOCAL:disco-funk,true
Q164444,funk,"user-requested regrouping under a synthetic canonical ""Core funk"" node alongside disco/pop funk; no longer a standalone canonical root",LOCAL:core-funk,
Q9759,blues,"user-requested regrouping under a synthetic canonical ""Blues/Rock (grouping)"" node alongside pop rock/rock; blues has a genuine P279 edge to ""music of North America"" that would otherwise keep it is_regional via the cascade regardless of this override, so its other parent edges are excluded too",LOCAL:blues-rock,true
Q11399,rock music,"user-requested regrouping under a synthetic canonical ""Blues/Rock (grouping)"" node alongside pop rock/blues; no longer a standalone canonical root",LOCAL:blues-rock,
LOCAL:pop-electronic,Pop electronic,user-requested new intermediate node under electronic music,Q9778,
LOCAL:core-electronic,Core electronic,user-requested new intermediate node under electronic music,Q9778,
Q851213,electronic dance music,"user-requested regrouping under new synthetic ""Pop electronic"" node",LOCAL:pop-electronic,
Q116985035,electronic pop,"user-requested regrouping under new synthetic ""Pop electronic"" node",LOCAL:pop-electronic,
Q316930,dance music,"user-requested regrouping under new synthetic ""Pop electronic"" node",LOCAL:pop-electronic,
Q115200681,electro-R&B,"user-requested regrouping under new synthetic ""Pop electronic"" node",LOCAL:pop-electronic,
Q817138,electronica,"user-requested regrouping under new synthetic ""Pop electronic"" node",LOCAL:pop-electronic,
Q107486984,electro-folk,"user-requested regrouping under new synthetic ""Pop electronic"" node",LOCAL:pop-electronic,
Q325504,electronic rock,"user-requested regrouping under new synthetic ""Pop electronic"" node",LOCAL:pop-electronic,
Q325397,indietronica,"user-requested regrouping under new synthetic ""Pop electronic"" node",LOCAL:pop-electronic,
Q17231682,A&D,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q107697234,HexD,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q2146293,Retrosound,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q106528337,acid,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q16002495,algorave,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q134983275,aliencore,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q4736507,alternative electronic,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q193207,ambient music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q96740854,bass music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q106574871,beatdown,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q106422444,bit music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q757143,chill-out music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q2626684,chillwave,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q135637,chiptune,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q106582942,cyberpunk music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q115063474,digital fusion,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q98804240,disk drive music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q112997482,drift phonk,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q127470373,electro dub,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q9298306,electro-goth,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q1403744,electro-industrial,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q66686936,electro-orchestral music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q1326777,electroacoustic music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q5358022,electrogaze,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q108297235,epic collage,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q105763581,experimental electronic music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q131286868,fixed media,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q1100989,glitch,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q85765918,hauntology,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q1658757,illbient,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q65937906,leftfield electronic,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q1507298,lo-fi music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q310871,lowercase,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q141085413,minimal electronic music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q111387914,moogsploitation,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q3876770,nightcore,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q90568328,phonk,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q79784514,progressive electronic music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q7410145,sampledelia,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q3476798,seapunk,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q122216296,sigma music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q2342263,space music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q11308620,synth music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q19938910,synthwave,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q106576170,tribal music,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q15733887,vaporwave,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q106369996,wave,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q1840167,witch house,"user-requested regrouping under new synthetic ""Core electronic"" node (remaining electronic music subgenres not routed to Pop electronic)",LOCAL:core-electronic,
Q484641,pop rock,"user-requested reparent under LOCAL:blues-rock alongside LOCAL:core-blues-rock, moved out from under rock music",LOCAL:blues-rock,
Q65936391,acoustic rock,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
Q114878413,children's rock music,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
Q1391336,comedy rock,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
Q2281409,dance-rock,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
Q186472,folk rock,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
Q114133626,garage pop,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
Q2526653,mainstream rock,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
Q187760,new wave,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
Q2090023,piano rock,"user-requested reparent under pop rock (Q484641), moved out from under rock music",Q484641,
LOCAL:pop-hip-hop,Pop hip-hop,user-requested new intermediate node under hip-hop,Q11401,
LOCAL:core-hip-hop,Core hip-hop,user-requested new intermediate node under hip-hop,Q11401,
Q85740017,Afroswing,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q4998143,Burban,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q135235711,Internet rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q124399713,Jersey club rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q420883,LGBT hip hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q546206,Miami bass,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q31837971,NS-rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q21261423,Nuyorican rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q125653755,Philly club rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q124022145,Rapfrobeat,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q47074428,SoundCloud rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q24061928,St. Louis Bounce,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q129312602,Toronto sound,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q98528482,abstract hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q112977304,baby voice,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q529742,boom bap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q1074569,chipmunk soul,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q2261628,chopped and screwed,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q19879476,classic hip hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q16829781,cloud rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q602646,comedy hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q2706919,country rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q936573,crunk,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q3021144,deepkho,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q107515261,digicore,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q3709211,dirty rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q8560269,dirty south,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q15697534,drill,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q109303336,drumless hip hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q131440882,electro hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q12362064,emo rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q5421158,experimental hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q3108920,glitch hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q1534821,golden age hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q966564,hardcore hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q132526862,hardcore psycho rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
