word,capitalized,reason
haitian,Haitian,demonym seeded upfront to cover nationality-adjective genre labels
honduran,Honduran,demonym seeded upfront to cover nationality-adjective genre labels
hungarian,Hungarian,demonym seeded upfront to cover nationality-adjective genre labels
icelandic,Icelandic,demonym seeded upfront to cover nationality-adjective genre labels
indian,Indian,demonym seeded upfront to cover nationality-adjective genre labels
indonesian,Indonesian,demonym seeded upfront to cover nationality-adjective genre labels
iranian,Iranian,demonym seeded upfront to cover nationality-adjective genre labels
iraqi,Iraqi,demonym seeded upfront to cover nationality-adjective genre labels
irish,Irish,demonym seeded upfront to cover nationality-adjective genre labels
israeli,Israeli,demonym seeded upfront to cover nationality-adjective genre labels
italian,Italian,demonym seeded upfront to cover nationality-adjective genre labels
ivorian,Ivorian,demonym seeded upfront to cover nationality-adjective genre labels
jamaican,Jamaican,demonym seeded upfront to cover nationality-adjective genre labels
japanese,Japanese,demonym seeded upfront to cover nationality-adjective genre labels
jordanian,Jordanian,demonym seeded upfront to cover nationality-adjective genre labels
kazakh,Kazakh,demonym seeded upfront to cover nationality-adjective genre labels
kenyan,Kenyan,demonym seeded upfront to cover nationality-adjective genre labels
kiribati,Kiribati,demonym seeded upfront to cover nationality-adjective genre labels
korean,Korean,demonym seeded upfront to cover nationality-adjective genre labels
kosovar,Kosovar,demonym seeded upfront to cover nationality-adjective genre labels
kuwaiti,Kuwaiti,demonym seeded upfront to cover nationality-adjective genre labels
kyrgyz,Kyrgyz,demonym seeded upfront to cover nationality-adjective genre labels
lao,Lao,demonym seeded upfront to cover nationality-adjective genre labels
laotian,Laotian,demonym seeded upfront to cover nationality-adjective genre labels
latvian,Latvian,demonym seeded upfront to cover nationality-adjective genre labels
lebanese,Lebanese,demonym seeded upfront to cover nationality-adjective genre labels
liberian,Liberian,demonym seeded upfront to cover nationality-adjective genre labels
libyan,Libyan,demonym seeded upfront to cover nationality-adjective genre labels
liechtensteiner,Liechtensteiner,demonym seeded upfront to cover nationality-adjective genre labels
lithuanian,Lithuanian,demonym seeded upfront to cover nationality-adjective genre labels
luxembourgish,Luxembourgish,demonym seeded upfront to cover nationality-adjective genre labels
macedonian,Macedonian,demonym seeded upfront to cover nationality-adjective genre labels
malagasy,Malagasy,demonym seeded upfront to cover nationality-adjective genre labels
malawian,Malawian,demonym seeded upfront to cover nationality-adjective genre labels
malaysian,Malaysian,demonym seeded upfront to cover nationality-adjective genre labels
maldivian,Maldivian,demonym seeded upfront to cover nationality-adjective genre labels
malian,Malian,demonym seeded upfront to cover nationality-adjective genre labels
maltese,Maltese,demonym seeded upfront to cover nationality-adjective genre labels
mauritanian,Mauritanian,demonym seeded upfront to cover nationality-adjective genre labels
mauritian,Mauritian,demonym seeded upfront to cover nationality-adjective genre labels
mexican,Mexican,demonym seeded upfront to cover nationality-adjective genre labels
micronesian,Micronesian,demonym seeded upfront to cover nationality-adjective genre labels
moldovan,Moldovan,demonym seeded upfront to cover nationality-adjective genre labels
monacan,Monacan,demonym seeded upfront to cover nationality-adjective genre labels
mongolian,Mongolian,demonym seeded upfront to cover nationality-adjective genre labels
montenegrin,Montenegrin,demonym seeded upfront to cover nationality-adjective genre labels
moroccan,Moroccan,demonym seeded upfront to cover nationality-adjective genre labels
mozambican,Mozambican,demonym seeded upfront to cover nationality-adjective genre labels
namibian,Namibian,demonym seeded upfront to cover nationality-adjective genre labels
nauruan,Nauruan,demonym seeded upfront to cover nationality-adjective genre labels
nepalese,Nepalese,demonym seeded upfront to cover nationality-adjective genre labels
nicaraguan,Nicaraguan,demonym seeded upfront to cover nationality-adjective genre labels
nigerian,Nigerian,demonym seeded upfront to cover nationality-adjective genre labels
nigerien,Nigerien,demonym seeded upfront to cover nationality-adjective genre labels
norwegian,Norwegian,demonym seeded upfront to cover nationality-adjective genre labels
omani,Omani,demonym seeded upfront to cover nationality-adjective genre labels
pakistani,Pakistani,demonym seeded upfront to cover nationality-adjective genre labels
palauan,Palauan,demonym seeded upfront to cover nationality-adjective genre labels
palestinian,Palestinian,demonym seeded upfront to cover nationality-adjective genre labels
panamanian,Panamanian,demonym seeded upfront to cover nationality-adjective genre labels
papua,Papua,first word of the "Papua New Guinean" demonym seeded upfront
paraguayan,Paraguayan,demonym seeded upfront to cover nationality-adjective genre labels
persian,Persian,demonym seeded upfront to cover nationality-adjective genre labels
peruvian,Peruvian,demonym seeded upfront to cover nationality-adjective genre labels
polish,Polish,demonym seeded upfront to cover nationality-adjective genre labels
portuguese,Portuguese,demonym seeded upfront to cover nationality-adjective genre labels
qatari,Qatari,demonym seeded upfront to cover nationality-adjective genre labels
romanian,Romanian,demonym seeded upfront to cover nationality-adjective genre labels
russian,Russian,demonym seeded upfront to cover nationality-adjective genre labels
rwandan,Rwandan,demonym seeded upfront to cover nationality-adjective genre labels
salvadoran,Salvadoran,demonym seeded upfront to cover nationality-adjective genre labels
samoan,Samoan,demonym seeded upfront to cover nationality-adjective genre labels
saudi,Saudi,demonym seeded upfront to cover nationality-adjective genre labels
scottish,Scottish,demonym seeded upfront to cover nationality-adjective genre labels
senegalese,Senegalese,demonym seeded upfront to cover nationality-adjective genre labels
serbian,Serbian,demonym seeded upfront to cover nationality-adjective genre labels
sierra,Sierra,first word of the "Sierra Leonean" demonym seeded upfront
leonean,Leonean,second word of the "Sierra Leonean" demonym seeded upfront
singaporean,Singaporean,demonym seeded upfront to cover nationality-adjective genre labels
slovak,Slovak,demonym seeded upfront to cover nationality-adjective genre labels
slovenian,Slovenian,demonym seeded upfront to cover nationality-adjective genre labels
somali,Somali,demonym seeded upfront to cover nationality-adjective genre labels
south,South,"common prefix word ('South African', 'South Asian', 'South American') seeded upfront"
spanish,Spanish,demonym seeded upfront to cover nationality-adjective genre labels
sri,Sri,first word of the "Sri Lankan" demonym seeded upfront
lankan,Lankan,second word of the "Sri Lankan" demonym seeded upfront
sudanese,Sudanese,demonym seeded upfront to cover nationality-adjective genre labels
surinamese,Surinamese,demonym seeded upfront to cover nationality-adjective genre labels
swazi,Swazi,demonym seeded upfront to cover nationality-adjective genre labels
swedish,Swedish,demonym seeded upfront to cover nationality-adjective genre labels
swiss,Swiss,demonym seeded upfront to cover nationality-adjective genre labels
syrian,Syrian,demonym seeded upfront to cover nationality-adjective genre labels
taiwanese,Taiwanese,demonym seeded upfront to cover nationality-adjective genre labels
tajik,Tajik,demonym seeded upfront to cover nationality-adjective genre labels
tanzanian,Tanzanian,demonym seeded upfront to cover nationality-adjective genre labels
thai,Thai,demonym seeded upfront to cover nationality-adjective genre labels
togolese,Togolese,demonym seeded upfront to cover nationality-adjective genre labels
tongan,Tongan,demonym seeded upfront to cover nationality-adjective genre labels
trinidadian,Trinidadian,demonym seeded upfront to cover nationality-adjective genre labels
tunisian,Tunisian,demonym seeded upfront to cover nationality-adjective genre labels
turkish,Turkish,demonym seeded upfront to cover nationality-adjective genre labels
turkmen,Turkmen,demonym seeded upfront to cover nationality-adjective genre labels
ugandan,Ugandan,demonym seeded upfront to cover nationality-adjective genre labels
ukrainian,Ukrainian,demonym seeded upfront to cover nationality-adjective genre labels
uruguayan,Uruguayan,demonym seeded upfront to cover nationality-adjective genre labels
uzbek,Uzbek,demonym seeded upfront to cover nationality-adjective genre labels
vanuatuan,Vanuatuan,demonym seeded upfront to cover nationality-adjective genre labels
venezuelan,Venezuelan,demonym seeded upfront to cover nationality-adjective genre labels
vietnamese,Vietnamese,demonym seeded upfront to cover nationality-adjective genre labels
welsh,Welsh,demonym seeded upfront to cover nationality-adjective genre labels
yemeni,Yemeni,demonym seeded upfront to cover nationality-adjective genre labels
zambian,Zambian,demonym seeded upfront to cover nationality-adjective genre labels
zimbabwean,Zimbabwean,demonym seeded upfront to cover nationality-adjective genre labels
african,African,continent/region adjective seeded upfront alongside demonyms
asian,Asian,continent/region adjective seeded upfront alongside demonyms
balkan,Balkan,continent/region adjective seeded upfront alongside demonyms
caribbean,Caribbean,continent/region adjective seeded upfront alongside demonyms
caucasian,Caucasian,continent/region adjective seeded upfront alongside demonyms
european,European,continent/region adjective seeded upfront alongside demonyms
iberian,Iberian,continent/region adjective seeded upfront alongside demonyms
latin,Latin,continent/region adjective seeded upfront alongside demonyms
mediterranean,Mediterranean,continent/region adjective seeded upfront alongside demonyms
melanesian,Melanesian,continent/region adjective seeded upfront alongside demonyms
nordic,Nordic,continent/region adjective seeded upfront alongside demonyms
oceanian,Oceanian,continent/region adjective seeded upfront alongside demonyms
polynesian,Polynesian,continent/region adjective seeded upfront alongside demonyms
scandinavian,Scandinavian,continent/region adjective seeded upfront alongside demonyms
slavic,Slavic,continent/region adjective seeded upfront alongside demonyms
transatlantic,Transatlantic,continent/region adjective seeded upfront alongside demonyms
west,West,"common prefix word ('West African', 'West Indian') seeded upfront"
eastern,Eastern,common suffix word ("Middle Eastern") seeded upfront
middle,Middle,first word of "Middle Eastern" seeded upfront
afro,Afro,common compound-adjective prefix (e.g. "afro-cuban jazz") seeded alongside demonyms
anglo,Anglo,common compound-adjective prefix (e.g. "anglo-american folk") seeded alongside demonyms
euro,Euro,common compound-adjective prefix seeded alongside demonyms
franco,Franco,common compound-adjective prefix seeded alongside demonyms
indo,Indo,common compound-adjective prefix seeded alongside demonyms
sino,Sino,common compound-adjective prefix seeded alongside demonyms
